hz,target,stop,be_trig,be_lock,n,mean_r,wr,pf,min_q_r,med_q_r
48,2.0,0.75,1.2,0.6,3544,-0.3230287269824886,34.057562076749434,0.5064525471701553,-0.3292141775307765,-0.32280669038126325
48,2.5,0.75,1.2,0.6,3544,-0.3254021040490314,34.057562076749434,0.5028263241504902,-0.3341996404748562,-0.3282963096089489
96,2.0,1.0,0.95,0.45,3538,-0.3257452677836188,46.29734313171283,0.5131027412776367,-0.35590738181932213,-0.3285041161087404
24,2.0,1.0,0.95,0.45,3551,-0.3258828842118789,44.63531399605745,0.4969759822728756,-0.34649238381480474,-0.33199976974071777
48,2.5,1.0,0.95,0.45,3544,-0.3264978724958274,46.190744920993225,0.506952083897229,-0.3783867642896067,-0.32360987193332413
24,2.0,0.75,1.2,0.6,3551,-0.3266026235506309,33.59617009293157,0.4905352659742023,-0.3376049990347894,-0.3250043536471055
96,2.0,0.75,1.2,0.6,3538,-0.3274592524562386,33.88920293951385,0.503851910303648,-0.33665637165582546,-0.32550422582826233
48,1.5,1.0,0.95,0.45,3544,-0.3275007099249619,46.190744920993225,0.5054376884102233,-0.3700534309562734,-0.3234965941013249
24,2.5,0.75,1.2,0.6,3551,-0.32882633146457957,33.59617009293157,0.4870665223719166,-0.34051202258788216,-0.33112270060764093
24,2.5,1.0,0.95,0.45,3551,-0.32949292121493956,44.63531399605745,0.4914036266647716,-0.36140014269582627,-0.33335460371188774
48,1.5,0.75,1.2,0.6,3544,-0.3299960183327239,34.057562076749434,0.49580739826605014,-0.3384564397851205,-0.32752778571594887
96,1.5,1.0,0.95,0.45,3538,-0.3312285916954332,46.29734313171283,0.5049067192770261,-0.3654662053487339,-0.33085928284168364
24,1.5,1.0,0.95,0.45,3551,-0.33162839501325075,44.66347507744297,0.48810375765122765,-0.3536830193842389,-0.3342632710427781
96,2.5,0.75,1.2,0.6,3538,-0.33251860802435623,33.88920293951385,0.4961862554736578,-0.3409313725490196,-0.3352161026602708
24,1.5,0.75,1.2,0.6,3551,-0.33309587512255057,33.6243311743171,0.48040279412529185,-0.3398775901154515,-0.33085883546238753
96,2.5,1.0,0.95,0.45,3538,-0.33343296808295847,46.29734313171283,0.5016117985938153,-0.3742874888268317,-0.3339265441039685
96,1.5,0.75,1.2,0.6,3538,-0.3335078674929825,33.88920293951385,0.4946873844175145,-0.3481061245388567,-0.3292592358831945
48,2.0,1.0,1.2,0.6,3544,-0.3396959092167455,40.462753950338595,0.5357913531971982,-0.35511868127130625,-0.34661883401234594
96,2.0,1.0,1.2,0.6,3538,-0.3436532174683483,40.559638213680046,0.5358839850961731,-0.3642435736392087,-0.3470999055588866
48,2.5,1.0,1.2,0.6,3544,-0.3437869643260832,40.462753950338595,0.5302007555338932,-0.3759825565618598,-0.34734964121922773
24,2.0,1.0,1.2,0.6,3551,-0.3451091780247343,39.34103069557871,0.5138863027204547,-0.3617463127249299,-0.35190234658430974
48,1.5,1.0,1.2,0.6,3544,-0.3482297214750847,40.462753950338595,0.5241295423451128,-0.3730108381340514,-0.3492651419964641
24,2.5,1.0,1.2,0.6,3551,-0.3492768351076689,39.34103069557871,0.5080158265854114,-0.37292341162793424,-0.35755027943521156
96,2.5,1.0,1.2,0.6,3538,-0.35074736208651225,40.559638213680046,0.5263030879534395,-0.3775795800590218,-0.35749825673950436
