symbol,calmar,win_rate,n_trades,n_signals,net_pnl_r,max_dd_r,hurst,yz_vol,eval_start,train_span_days,screened_at,gate_pass
EURZAR,7.7778,0.6429,28.0,28.0,35.0,4.5,0.5091,0.00050222,2026-06-20T05:45:00+00:00,3223.0,2026-09-18T17:52:51.486313+00:00,True
GAS,24.5,0.7857,14.0,14.0,24.5,1.0,0.5064,0.00212908,2026-06-20T17:30:00+00:00,1842.0,2026-09-18T17:52:51.996808+00:00,True
GBPCAD,12.25,0.619,21.0,21.0,24.5,2.0,0.5043,0.00025427,2026-06-20T05:45:00+00:00,3840.0,2026-09-18T17:52:53.301432+00:00,True
GBPCNH,5.1,0.65,20.0,20.0,25.5,5.0,0.5089,0.00026917,2026-06-20T05:45:00+00:00,1863.0,2026-09-18T17:52:54.000679+00:00,True
GBPHKD,9.0,0.8,5.0,5.0,9.0,1.0,0.5078,0.00029083,2026-06-20T05:45:00+00:00,3214.0,2026-09-18T17:52:54.543943+00:00,True
GBPNZD,9.1667,0.7222,18.0,18.0,27.5,3.0,0.5198,0.00033732,2026-06-20T05:45:00+00:00,3840.0,2026-09-18T17:52:55.431894+00:00,True
GBPUSD,10.25,0.8182,11.0,11.0,20.5,2.0,0.5074,0.00028641,2026-06-20T05:45:00+00:00,3840.0,2026-09-18T17:52:56.029504+00:00,True
HK50,5.0,0.6429,28.0,28.0,35.0,7.0,0.5125,0.00099521,2026-06-20T05:45:00+00:00,3944.0,2026-09-18T17:52:57.155188+00:00,True
LEAD,6.5,0.75,4.0,4.0,6.5,1.0,0.4661,0.00093389,2026-06-20T17:30:00+00:00,1866.0,2026-09-18T17:52:57.907948+00:00,True
NICKEL,14.75,0.8125,16.0,16.0,29.5,2.0,0.4949,0.00173669,2026-06-20T17:30:00+00:00,1883.0,2026-09-18T17:52:58.687272+00:00,True
NZDCNH,5.125,0.6111,18.0,18.0,20.5,4.0,0.5109,0.00040279,2026-06-20T17:30:00+00:00,1863.0,2026-09-18T17:52:59.963055+00:00,True
NZDUSD,34.0,0.7273,22.0,22.0,34.0,1.0,0.5095,0.00045063,2026-06-20T17:30:00+00:00,3840.0,2026-09-18T17:53:01.133209+00:00,True
SGDJPY,6.6667,0.6667,15.0,15.0,20.0,3.0,0.4933,0.0002793,2026-06-20T05:45:00+00:00,3839.0,2026-09-18T17:53:01.675505+00:00,True
SP500,8.25,0.6,15.0,15.0,16.5,2.0,0.5125,0.00058883,2026-06-20T05:45:00+00:00,3844.0,2026-09-18T17:53:02.050648+00:00,True
STOXX50,6.2,0.64,25.0,25.0,31.0,5.0,0.5057,0.0007791,2026-06-20T05:45:00+00:00,3907.0,2026-09-18T17:53:02.356964+00:00,True
SWISS20,8.5,0.7273,11.0,11.0,17.0,2.0,0.5198,0.000788,2026-06-20T05:45:00+00:00,1865.0,2026-09-18T17:53:02.666584+00:00,True
UK100,5.7778,0.6087,23.0,23.0,26.0,4.5,0.5204,0.00074751,2026-06-20T05:45:00+00:00,3894.0,2026-09-18T17:53:03.077003+00:00,True
USDCHF,7.25,0.5926,27.0,27.0,29.0,4.0,0.5085,0.00036543,2026-06-20T05:45:00+00:00,3840.0,2026-09-18T17:53:04.704003+00:00,True
USDMXN,7.0,0.6429,28.0,28.0,35.0,5.0,0.5086,0.00034966,2026-06-20T05:45:00+00:00,3840.0,2026-09-18T17:53:06.108068+00:00,True
USDTHB,10.25,0.8182,11.0,11.0,20.5,2.0,0.5049,0.00036384,2026-06-20T05:45:00+00:00,3430.0,2026-09-18T17:53:07.116225+00:00,True
USDZAR,15.25,0.8667,15.0,15.0,30.5,2.0,0.507,0.00062933,2026-06-20T05:45:00+00:00,3843.0,2026-09-18T17:53:07.639669+00:00,True
USWTI,11.0,0.6667,33.0,33.0,44.0,4.0,0.5187,0.00263898,2026-06-20T05:45:00+00:00,3231.0,2026-09-18T17:53:08.149582+00:00,True
XAUAUD,6.0,0.6667,18.0,18.0,24.0,4.0,0.5199,0.00116025,2026-06-20T05:45:00+00:00,948.0,2026-09-18T17:53:09.342741+00:00,True
XPDUSD,16.8333,0.7667,30.0,30.0,50.5,3.0,0.5112,0.00301727,2026-06-20T05:45:00+00:00,946.0,2026-09-18T17:53:10.678192+00:00,True
ALUMINIUM,0.0,,,,,,,,,,,False
AUDJPY,0.0,,,,,,,,,,,False
AUDUSD,0.0,,,,,,,,,,,False
CADJPY,0.0,,,,,,,,,,,False
CHFJPY,0.0,,,,,,,,,,,False
CHFSGD,0.0,,,,,,,,,,,False
CNHJPY,0.0,,,,,,,,,,,False
COPPER,0.0,,,,,,,,,,,False
DJ30,0.0,,,,,,,,,,,False
EURAUD,0.0,,,,,,,,,,,False
EURCNH,0.0,,,,,,,,,,,False
EURHKD,0.0,,,,,,,,,,,False
EURHUF,0.0,,,,,,,,,,,False
EURJPY,0.0,,,,,,,,,,,False
EURMXN,0.0,,,,,,,,,,,False
EURNOK,0.0,,,,,,,,,,,False
EURNZD,0.0,,,,,,,,,,,False
EURSEK,0.0,,,,,,,,,,,False
EURSGD,0.0,,,,,,,,,,,False
FR40,0.0,,,,,,,,,,,False
GAUCNH,0.0,,,,,,,,,,,False
GAUUSD,0.0,,,,,,,,,,,False
GBPAUD,0.0,,,,,,,,,,,False
GBPCHF,0.0,,,,,,,,,,,False
GBPJPY,0.0,,,,,,,,,,,False
GBPNOK,0.0,,,,,,,,,,,False
GBPSEK,0.0,,,,,,,,,,,False
GBPSGD,0.0,,,,,,,,,,,False
GER30,0.0,,,,,,,,,,,False
GER40,0.0,,,,,,,,,,,False
JP225,0.0,,,,,,,,,,,False
NAS100,0.0,,,,,,,,,,,False
NETH25,0.0,,,,,,,,,,,False
NOKJPY,0.0,,,,,,,,,,,False
NOKSEK,0.0,,,,,,,,,,,False
NZDCAD,0.0,,,,,,,,,,,False
NZDCHF,0.0,,,,,,,,,,,False
NZDJPY,0.0,,,,,,,,,,,False
NZDSGD,0.0,,,,,,,,,,,False
UKBRENT,0.0,,,,,,,,,,,False
US2000,0.0,,,,,,,,,,,False
